SOL,MG,MH
0.011,-0.043,0.005
0.045,0.015,0.007
0.063,0.043,-0.007
0.065,0.018,0.009
0.134,0.051,-0.003
0.01,-0.056,0.016
-0.191,0.048,-0.008
-0.142,-0.025,-0.023
-0.189,0.006,0.013
0.063,0.001,0.004
0.229,0.013,-0.01
0.22,-0.008,0.004
0.212,-0.038,-0.011
-0.028,-0.083,0.001
-0.151,-0.095,0.002
-0.053,-0.019,-0.003
-0.05,-0.057,-0.002
0.005,0.046,0.013
0.073,0.077,-0.011
0.089,-0.01,-0.007
0.071,0.003,0.015
0.209,0.054,0.01
0.073,0.006,0.026
-0.131,-0.07,0.002
-0.007,0.083,-0.003
-0.015,0,-0.01
0.015,-0.084,-0.007
0.024,-0.119,-0.009
-0.183,0.054,0.007
-0.003,0.015,-0.015
0.14,-0.022,-0.003
0.077,0.012,0.003
-0.031,0.198,-0.014
-0.096,0.02,-0.017
0.092,0.116,-0.001
0.137,0.025,0.021
0.186,-0.006,0.004
-0.002,-0.057,-0.009
-0.07,-0.148,0.006
-0.117,-0.264,0.009
0.015,0.039,0.008
0.023,0.076,0.007
0.145,0.04,-0.003
0.006,0.063,0
-0.027,0.047,-0.006
-0.05,0.031,0.021
0.065,0.067,-0.015
0.062,-0.06,0.015
0.048,-0.184,0.009
-0.022,-0.054,-0.011
0.065,-0.054,0.01
0.007,0.069,0.007
-0.042,0.045,0.007
0.053,0.081,-0.006
0.017,-0.063,-0.002
-0.017,0.002,-0.012
0.015,0.019,0.01
0.038,-0.036,0.017
-0.027,0,-0.004
0.045,0.018,0.013
0.05,0.036,0.01
0.047,-0.045,-0.004
0.128,-0.02,-0.006
-0.003,0.048,-0.017
-0.039,-0.032,0.012
-0.007,0.02,0.021
0.005,-0.042,0.014
-0.028,-0.068,-0.006
0.073,-0.023,-0.006
0.134,-0.059,0.008
0.129,-0.009,-0.011
0.028,0.053,0.01
0.011,0.062,-0.005
-0.003,-0.035,-0.004
0.011,-0.021,0.001
-0.005,0.047,-0.009
0.062,0.006,-0.007
0.007,-0.031,-0.014
0.018,-0.006,-0.003
0.016,0.038,0.006
0.009,-0.004,0.001
0.016,0.011,0.004
0.069,0.017,-0.006
0.088,0.053,0.011
-0.013,0.003,-0.007
0.013,0.044,-0.011
0.005,0.059,-0.004
0.018,-0.006,0.002
-0.003,-0.084,-0.012
0.008,0.022,0
0.019,-0.052,0.008
0.04,-0.039,0.012
0.153,0.083,-0.001
0.059,-0.191,0.017
-0.033,0.002,-0.006
-0.187,0.087,0.009
-0.037,-0.034,0.007
-0.092,-0.032,0.032
0.129,-0.019,0
0.063,-0.053,-0.01
0.047,0.029,0.003
0.118,0.102,-0.011
0.038,0.02,-0.012
-0.109,-0.022,-0.001
-0.122,0.03,0.001
0.024,0.054,0
0.13,0.054,-0.003
0.101,0.003,0.007
0.053,-0.16,0.012
0.048,-0.094,0.002
-0.048,-0.016,-0.002
-0.124,0.067,-0.007
-0.029,0.031,-0.015
0.026,0.078,0.006
0.065,-0.15,-0.006
0.12,-0.11,0
-0.001,0.101,-0.002
-0.052,0.113,0.011
-0.095,0.03,0.004
-0.065,-0.114,-0.01
-0.112,-0.078,0.006
-0.095,0.063,0.023
0.15,-0.023,0.025
0.096,-0.043,0.006
0.146,0.014,-0.009
0.083,0.107,-0.005
-0.106,0.05,0
-0.108,-0.023,0.007
0.008,-0.025,0
-0.037,-0.005,0.007
0.018,-0.13,0.002
-0.003,0.004,-0.003
0.024,0.061,0.002
0.12,0.018,0.012
0.111,-0.033,-0.027
-0.023,-0.026,-0.005
0.002,-0.032,-0.005
0.018,-0.007,-0.005
-0.043,0.019,0.003
0.007,0.057,-0.002
0.068,0.021,0.005
0.127,-0.062,0.009
0.016,0.065,-0.005
0.05,0.027,-0.009
0.084,-0.001,-0.006
0.068,-0.058,-0.016
0.114,-0.106,-0.004
-0.101,0.09,0.008
-0.027,0.041,0.007
0.003,-0.005,0.02
0.066,-0.066,0.012
0.147,-0.13,0.022
0.028,0.061,-0.022
-0.025,-0.041,-0.025
0.003,-0.066,0.001
-0.097,0.015,0.015
-0.16,0.006,0.004
0.133,0.123,-0.012
0.153,0.139,0.019
0.071,-0.142,0
-0.011,0.088,0.012
0.06,-0.013,0.01
0.028,-0.252,0.013
0.01,0.154,-0.006
-0.196,0.144,0.007
0.032,0.016,0.004
-0.031,-0.03,0.019
0.004,-0.025,0.014
-0.047,-0.079,0.018
0.051,-0.103,0.008
0.09,-0.068,-0.012
0.102,-0.026,-0.001
-0.067,0.124,0.002
-0.09,0.297,0.007
-0.05,-0.011,0.007
-0.003,-0.081,-0.016
0.011,-0.089,-0.002
0.012,-0.027,-0.003
0.096,-0.046,-0.014
0.186,0.065,-0.01
0.058,0.055,0.006
0.041,-0.002,-0.009
0.042,0.008,0.002
-0.034,-0.069,-0.006
0.02,-0.044,0.012
0.068,0.079,0.021
-0.032,-0.011,0.002
-0.111,-0.106,0.004
0.025,-0.012,0.002
0.008,0.036,-0.013
0.028,0.046,-0.016
-0.013,-0.056,0.014
0.007,-0.059,-0.013
0.066,0.06,0.018
0.064,-0.015,-0.007
-0.049,0.032,0.013
-0.015,0.03,-0.002
0.054,-0.061,0.004
0.019,0.042,-0.004
0.035,-0.014,0.015
0.013,-0.034,0.009
0.024,0.094,-0.005
0.027,-0.057,-0.005
-0.007,-0.001,-0.004
0.01,-0.08,-0.013
0.08,-0.002,0.027
0.209,0.056,0.007
0.187,-0.039,0.003
-0.015,0.036,0.003
-0.038,0.082,0.011
0.13,0.002,0
-0.214,0.091,0.002
-0.325,-0.064,-0.002
-0.218,-0.172,-0.005
0.195,-0.036,0.014
0.253,0.03,0.026
0.14,0.052,0.023
0.035,0.014,-0.018
-0.02,-0.002,-0.006
-0.073,0.003,0.007
0.025,-0.035,0.003
0.012,0.005,-0.013
0.013,-0.027,-0.008
0.119,-0.031,0.004
0.101,-0.018,-0.004
0.097,-0.015,-0.019
0.021,0.042,-0.003
0.024,0.025,0.005
-0.026,-0.016,0.004
0.018,0.066,-0.007
-0.011,0.014,-0.004
-0.057,-0.004,0.012
0.009,0.008,-0.01
0.036,-0.034,0.016
0.227,-0.006,0.011
0.137,0.022,0.022
0.118,0.013,-0.003
-0.12,-0.231,0.005
0.14,0.051,0.004
-0.031,0.074,0.014
0.044,0.056,0.02
-0.004,0.01,-0.018
-0.217,0.101,-0.028
-0.132,0.087,-0.024
-0.058,-0.037,0.009
0.147,-0.366,0.01
0.139,0.009,0.003
0.054,0.154,0.013
0.074,-0.032,0.005
0.271,-0.024,0.029
0.021,-0.052,0.004
-0.205,-0.059,0.003
-0.237,-0.025,0.006
-0.07,0.092,0.001
0.006,-0.018,-0.009
-0.083,-0.044,-0.015
0.119,0.026,0.007
0.066,-0.037,-0.002
-0.009,0.098,0.005
0.018,0.233,-0.006
-0.015,-0.007,-0.003
0.116,-0.052,0.006
0.068,-0.043,0
0.032,-0.058,-0.008
0.074,-0.06,-0.011
0.054,-0.034,0.021
0.065,-0.007,0.006
0.014,0.038,0.007
0.005,0.083,0.007
-0.044,0.004,0.003
-0.056,-0.129,0.005
0.073,-0.092,0.008
0.067,-0.022,0.011
0.051,0.103,0.016
0.1,0.133,-0.009
-0.05,0.006,0.005
-0.172,-0.097,0.014
0.014,0.014,-0.002
0.045,0.035,-0.005
0.045,0.062,-0.015
-0.035,0.068,0.005
-0.055,-0.132,-0.009
0.018,-0.114,-0.001
0.061,0.039,0.004
0.068,0.028,0.011
0.028,-0.073,0.038
0.06,-0.05,0.034
0.056,-0.046,0.021
0.109,-0.067,0.013
-0.118,-0.005,0.007
-0.159,0.374,0.002
0.136,0.109,-0.006
0.182,0.008,0.011
0.054,-0.044,0.005
0.03,-0.053,-0.014
-0.053,-0.033,0.006
-0.001,-0.22,0.002
-0.066,-0.262,-0.008
-0.003,0.074,0.01
0.084,0.169,-0.02
0.077,0.207,-0.006
0.02,0.111,-0.001
0.03,-0.005,0.011
0.066,-0.185,0.025
0.175,-0.168,0.017
0.112,0.06,0.005
0.199,0.206,0.021
-0.131,-0.028,0.006
-0.382,0.044,0.008
-0.165,-0.08,-0.006
-0.037,0.04,0.01
0.011,0.109,0.017
0.185,-0.02,-0.009
0.014,-0.029,-0.004
0.147,-0.289,-0.011
0.124,0.008,0.007
0.089,0.204,0.012
-0.005,0.086,0.012
0.044,-0.057,0.023
-0.015,-0.077,0.011
-0.037,-0.135,0.019
0.111,0.084,-0.004
0.141,0.022,0.011
0.098,0.024,0.017
0.051,0.014,0.005
0.021,0.048,-0.004
-0.144,-0.029,0.005
-0.015,-0.16,0.007
-0.131,0.054,0.006
-0.123,-0.016,0.023
0.037,0.037,0.007
0.098,-0.037,0.004
0.056,-0.038,0.005
0.069,0.058,0.007
0.035,0.014,-0.002
0.062,-0.035,0.003
0.092,0.065,0.013
0.04,-0.046,-0.002
0.004,-0.077,-0.002
-0.037,-0.092,-0.009
-0.045,0.12,0
0.025,0.286,0.007
-0.026,0,-0.001
0.231,-0.146,0.005
0.092,-0.037,0.016
-0.009,-0.003,0.012
-0.19,-0.035,0.016
-0.161,0.054,0.014
-0.055,0.095,0
-0.144,-0.028,0.004
0.049,-0.038,-0.003
0.041,-0.003,0
0.049,0.023,0.007
-0.011,-0.094,0.007
0.028,-0.082,0.021
0.046,-0.024,0.011
0.011,0.064,-0.001
0.038,0.171,0.008
0.02,0.149,0.009
0.007,-0.106,-0.011
0.015,-0.095,0.016
0.015,0.005,0.022
-0.023,0.011,0
0.028,-0.013,0.006
0.031,0.024,0.015
-0.022,-0.026,0.027
-0.027,0.004,0.024
-0.029,0.014,0.007
0.041,-0.001,0.008
-0.057,-0.03,0.005
-0.03,-0.002,-0.011
0.038,-0.047,-0.001
0.028,-0.027,0.008
0.06,0.011,-0.01
0.03,0.01,-0.013
-0.015,-0.033,-0.006
-0.005,0.005,0.032
-0.033,-0.007,0.027
0.045,0.023,0.027
-0.009,0.012,0.007
0.003,-0.019,0.002
0.033,0.021,0.015
-0.014,0.042,0.008
-0.065,-0.001,0.012
-0.025,-0.006,-0.001
0.101,-0.004,0.002
0.02,0.014,-0.028
0.018,-0.024,0.005
0.002,0.013,0.026
-0.005,0.01,0.031
0.04,0.025,0.05
-0.011,0.018,0.019
0.016,-0.005,0.016
0.002,0.003,0.005
0.015,0.019,-0.006
0.052,-0.011,-0.012
0.037,0,-0.004
0.003,0.002,-0.02
0.031,0.001,-0.014
0.09,-0.022,-0.007
-0.013,-0.057,0.023
0.051,-0.043,0.03
-0.046,-0.006,0.005
-0.024,-0.03,0.024
0.012,-0.02,0.001
0.1,0.029,0.011
0.082,-0.003,0.009
0.121,0.017,0.032
0.067,0.007,-0.018
0.038,0.026,-0.001
0.043,0.043,-0.019
-0.064,-0.002,0.011
0.025,-0.021,0.024
0.101,-0.025,0.029
0.116,0.039,0.026
0.095,0.051,0.03
0.085,-0.054,0.008
0.045,-0.004,-0.001
0.045,0.02,-0.002
0.036,-0.03,0.003
0.056,-0.024,-0.021
0.072,-0.022,-0.018
0.067,0,0
0.044,0.006,0.005
0.08,0.001,0
0.056,0.033,-0.024
0.049,-0.013,0
0.029,-0.022,-0.019
0.063,0,0.014
0.044,0.019,0.007
0.071,0.022,0.013
0.041,-0.022,-0.009
0.081,0.018,0.007
0.008,-0.024,-0.022
0.091,-0.013,0.003
-0.002,-0.025,0.022
-0.012,0.023,0.009
0.016,0.002,0.016
0.032,-0.007,0.032
0.012,-0.013,0.004
0.016,-0.015,-0.027
0.018,0.028,-0.014
0.023,0.002,0.012
0.042,0.025,0.008
0.037,0,0.019
0.028,0.007,-0.007
0.031,0.028,-0.028
0.011,-0.001,0.004
0.03,0.035,0.031
0.011,-0.022,-0.005
-0.011,-0.006,-0.024
0.03,0.023,0.002
-0.002,0.001,-0.002
0.013,-0.007,-0.002
0.013,-0.023,0.013
0.049,-0.018,0.007
0.018,-0.028,0.001
-0.006,-0.016,-0.013
0.011,0.025,-0.014
0.053,-0.009,-0.011
0.016,-0.004,0.002
0.033,-0.005,-0.005
-0.037,0.012,-0.006
0.003,-0.011,0.007
0,0.018,0.018
0.01,0.014,-0.014
-0.019,0.015,0.009
0.036,-0.007,-0.012
-0.04,0.011,0.007
0.033,0.002,0.02
-0.003,-0.015,0.013
-0.011,-0.007,0.014
-0.008,0.006,0.001
0.024,-0.031,-0.008
0.035,-0.015,0.002
0.024,0.008,0.007
0.006,0.003,0.013
0.033,-0.002,-0.006
0.011,-0.011,-0.028
0.002,0.014,-0.013
0.005,0.018,0.005
-0.009,-0.016,-0.011
0.002,-0.005,0.011
0.03,-0.011,-0.006
-0.004,0.01,0.011
0.003,-0.009,-0.016
-0.002,0,0.007
0.002,0.004,-0.017
-0.007,-0.034,0.004
0.005,-0.005,-0.004
-0.004,-0.008,0.013
-0.017,-0.017,-0.002
0.016,0.005,0.03
0.027,0.02,0.006
0.044,0.03,0
0.027,-0.019,-0.023
0.049,-0.042,-0.002
0.053,-0.034,-0.006
0.042,0.026,0.001
0.013,0.007,-0.012
0.037,-0.017,0.006
0.023,-0.002,-0.002
0.067,-0.004,-0.012
0.023,-0.021,-0.006
0.056,-0.017,-0.012
0.066,0.009,0.006
0.054,-0.001,0.005
0.061,0.036,-0.012
0.068,-0.023,-0.02
0.049,-0.039,0.007
0.073,-0.009,0.006
0.065,-0.017,-0.002
0.052,-0.022,-0.005
0.038,-0.019,-0.024
0.04,-0.009,-0.002
0.021,-0.004,-0.024
0.025,0.003,0.003
0.035,-0.024,0.003
0.036,0.052,0
0.036,0.006,0.014
0.004,0.002,0.015
-0.077,0.006,-0.005
-0.032,-0.034,-0.021
0.025,0.016,-0.021
-0.006,0.002,0.002
-0.033,0.033,0.003
-0.015,0.002,0.002
-0.012,0.006,-0.013
0.002,-0.036,0
0.001,0.019,-0.011
0.005,-0.035,-0.004
0.004,-0.005,0.011
-0.048,0.002,-0.012
0.004,-0.025,0.003
-0.004,0.018,-0.002
0.009,-0.001,0.006
0.001,-0.023,-0.011
-0.015,-0.012,0.004
0.025,-0.023,-0.012
-0.01,0.004,0.003
-0.046,0.004,-0.013
0.011,0.023,-0.015
0.027,-0.016,-0.002
0.004,-0.044,-0.004
-0.016,0.001,0.005
-0.005,-0.015,-0.016
0.006,0.004,-0.008
0.001,0.007,-0.028
0.008,0,0.003
0.017,-0.014,-0.013
0.024,0.013,-0.02
0.046,-0.006,0.007
0.031,0.002,0.003
0.003,-0.011,0
0.011,-0.001,0.011
-0.045,-0.022,-0.011
-0.014,0.002,-0.011
0.036,0.004,-0.003
0.017,0.012,-0.003
0.017,-0.005,0.01
0.001,-0.012,0
0.028,-0.017,0
0.04,-0.01,0.012
0.069,-0.001,-0.015
0.045,-0.024,-0.008
0.056,0,0.003
0.036,-0.009,0.011
0.045,-0.012,0
0.016,-0.021,-0.001
0.033,0.001,-0.021
0.026,-0.003,0
0.035,-0.012,-0.016
-0.003,-0.005,-0.008
0.006,-0.02,-0.005
0.041,-0.021,-0.013
0.037,-0.025,-0.004
0.04,0.005,0.008
0.056,-0.003,0.004
0.065,-0.022,-0.009
-0.032,0.008,0.008
-0.049,-0.027,0.016
-0.06,-0.005,0.009
-0.069,-0.012,0.002
-0.05,-0.019,0.006
-0.046,0.003,-0.009
-0.014,-0.004,-0.016
-0.039,-0.012,0.007
-0.037,-0.037,0.002
-0.019,-0.004,0.015
-0.011,-0.026,0.002
-0.006,-0.017,0.012
-0.042,-0.039,0.016
-0.045,0.013,0.004
-0.031,0.008,-0.005
-0.027,0.006,-0.003
-0.03,-0.033,-0.024
-0.067,-0.007,0.001
0.007,-0.007,-0.001
-0.008,-0.006,0.008
-0.021,-0.013,-0.017
-0.074,-0.012,-0.013
-0.017,0.052,-0.014
-0.003,-0.029,-0.002
-0.021,-0.018,-0.007
-0.002,-0.004,-0.012
0.005,-0.026,0
-0.004,-0.054,0.014
-0.004,-0.004,0.014
0.016,-0.034,-0.002
-0.01,-0.019,0.008
0.002,-0.02,-0.005
0.012,-0.028,-0.014
0.025,-0.048,-0.002
-0.011,0.064,0.005
0.022,0.054,0
-0.019,-0.003,-0.016
-0.015,-0.03,0.008
-0.042,-0.009,-0.009
-0.028,-0.027,0.007
0.024,0.016,0.001
0.034,0.004,-0.014
-0.011,0.012,-0.024
0.024,-0.001,-0.004
0.018,0.01,0.003
0.037,0.007,-0.007
0.025,-0.02,0.018
0.028,-0.01,0.004
-0.009,-0.012,0.008
0.062,-0.019,-0.004
0.033,-0.018,-0.003
0.062,0,0.002
0.022,0.013,-0.003
0.024,-0.018,-0.014
0.017,-0.014,-0.002
0.008,0,-0.006
0.047,-0.015,-0.02
0.036,-0.021,-0.001
0.03,-0.002,0.01
0.009,-0.012,0.002
0.035,0.017,0.002
0.041,0.006,0
0.007,-0.003,0.011
0.028,-0.008,0.005
-0.028,-0.003,-0.007
-0.002,-0.004,-0.003
0.019,0,-0.019
0.012,-0.018,-0.007
0.016,-0.028,-0.008
0.029,-0.026,-0.013
0.021,0.038,-0.005
0.045,0.008,-0.004
0.023,-0.008,-0.001
0.049,0.008,-0.007
0.035,0.006,-0.007
-0.013,0.013,0.013
0.029,-0.011,-0.028
-0.001,-0.006,-0.008
0.018,-0.012,-0.005
0.021,-0.01,0
0.025,-0.004,0.003
0.029,-0.046,-0.014
0.032,0.001,-0.01
0.015,0.004,-0.008
0.027,0.028,-0.005
0,-0.038,0.013
-0.031,-0.04,-0.01
-0.001,0.011,-0.02
0.009,-0.005,-0.017
0.03,-0.035,-0.017
0.023,0.007,-0.003
-0.005,-0.009,-0.005
0.019,-0.017,0
0.01,0.004,-0.017
0.023,0.005,-0.001
0.015,-0.015,0.006
0.005,-0.035,0.001
0.009,-0.049,-0.002
0.039,-0.031,0.006
0.052,-0.008,0.001
0.024,-0.023,-0.012
0.051,-0.029,-0.006
0.019,-0.022,-0.014
0.021,0.003,-0.017
0.013,0.005,0
0.015,-0.001,-0.009
0.015,-0.002,0.002
0.029,-0.028,-0.017
0.013,-0.017,0
0.006,0,-0.001
0.018,0.018,0.004
0.056,-0.011,-0.022
0.023,-0.013,-0.01
0.025,0.002,0
-0.005,0.007,-0.001
0,-0.023,-0.014
0.031,-0.025,-0.002
0.014,-0.013,-0.009
0.017,-0.024,0.005
0.041,-0.028,0.006
0.02,-0.007,0
0.022,-0.044,0.001
0.059,-0.033,-0.023
0.037,-0.02,0.011
0.026,-0.045,-0.016
0.01,0.004,-0.015
0.015,-0.005,-0.007
0.025,-0.004,-0.003
0.025,-0.036,-0.012
0.013,-0.01,0.005
-0.009,0.01,-0.007
0.025,-0.022,-0.018
0.021,-0.029,0.006
0.022,-0.023,-0.008
0.008,-0.034,0.005
0.01,-0.026,0.002
0.001,0.007,-0.023
0.028,-0.003,-0.013
0.008,-0.018,-0.001
0.038,-0.023,0.002
0.001,0.006,-0.01
0.025,-0.006,-0.009
0.03,-0.007,-0.019
0.017,0.013,0.006
0.045,-0.034,-0.009
0.02,-0.003,0.003
0.035,-0.007,-0.009
0.025,-0.016,-0.006
0.041,0.004,0.007
-0.005,0.004,0.015
0.034,-0.01,0
0.042,0.016,-0.004
0.025,-0.002,-0.014
0.001,-0.034,-0.005
0.006,-0.016,-0.021
0.002,-0.016,-0.015
0.036,-0.017,-0.005
0.039,-0.012,-0.005
0.062,-0.04,-0.018
0.013,0,-0.011
-0.004,0.02,-0.002
0.036,0.019,-0.008
0.012,0.01,0.002
0.015,0.017,0.015
0.014,-0.016,0.001
-0.006,-0.05,-0.002
0.027,-0.013,0.01
0.01,0.013,-0.002
0.005,-0.02,-0.02
0.004,-0.015,-0.001
0.007,0.005,-0.001
0.026,-0.009,-0.026
0.038,-0.034,-0.011
0.019,-0.012,-0.006
0.024,0.008,-0.002
-0.002,0.011,-0.027
0.033,0.011,-0.002
0.04,-0.006,-0.014
0.021,0.011,0.007
0.013,-0.008,-0.015
0.053,-0.025,-0.011
0.011,-0.042,-0.007
0.021,-0.028,-0.004
0.007,-0.006,0.011
0.013,-0.008,0.003
-0.017,-0.042,0.007
0.005,-0.011,0
0.065,-0.009,0.001
0.015,0.002,-0.001
0.049,0.011,-0.015
0.028,-0.017,-0.013
0.029,-0.004,-0.009
-0.001,0.026,-0.015
0.048,0.004,-0.009
-0.002,0.001,-0.014
0.018,-0.041,-0.006
-0.011,-0.013,0
0.03,-0.011,-0.002
0.039,-0.012,-0.003
0.032,0.014,-0.001
0.015,-0.023,-0.002
0.051,-0.007,0.027
-0.013,-0.005,0.006
0.005,-0.049,-0.005
0.021,0.008,-0.01
0.029,-0.005,-0.002
0.026,0.016,-0.02
0.018,-0.003,-0.003
0.014,-0.005,0.005
0.007,-0.001,-0.022
0.006,-0.024,0.007
0.01,-0.039,-0.01
0.004,-0.02,-0.006
0.014,-0.01,0.006
0.022,-0.002,-0.01
0.036,0.02,-0.002
0.013,0.001,0.006
0.03,-0.011,0.014
0.021,-0.005,0
0.009,-0.018,0
0.018,-0.024,0.004
0.01,0.007,-0.008
-0.005,0.001,0
0.034,0.011,-0.01
0.035,0.013,0.006
0.033,-0.044,-0.004
0,-0.001,-0.011
0.024,-0.02,-0.005
0.008,0.001,-0.004
0.042,0,0
0.002,-0.02,-0.003
0.009,0.013,-0.012
-0.016,0.008,0.004
0.023,0.003,0.003
0.002,-0.015,-0.008
0.007,-0.013,0.006
-0.014,-0.003,0.001
0.023,-0.011,-0.016
0.033,0.005,-0.001
0.03,-0.017,-0.018
0.008,-0.011,0.011
-0.011,-0.008,0.007
0.032,0.027,-0.02
0.026,-0.015,0.004
0.05,0.007,-0.002
0.026,0.011,0.002
0.018,-0.009,-0.008
0.043,-0.029,0
0.003,-0.003,-0.025
0.008,-0.017,0.003
0.017,-0.007,-0.007
0.017,-0.025,0.002
-0.009,-0.032,0.02
0.023,0,-0.014
0.007,0.002,0.017
0.027,0.012,-0.008
0.021,0.023,-0.008
0.011,-0.014,-0.003
0.017,0.008,0.02
0.024,0.023,0.013
0.009,0.02,0.006
-0.006,-0.017,0.003
0.013,-0.01,0.005
0.006,-0.032,-0.011
0.026,-0.002,-0.007
0.021,-0.009,-0.024
0.017,-0.013,-0.001
0.018,-0.023,-0.013
0.012,0.008,0.005
0.023,0.02,0.009
0.012,-0.006,-0.008
0.013,0.008,0.006
-0.001,-0.005,0.02
0.035,-0.008,-0.008
0.006,-0.03,-0.006
0.034,0.008,-0.013
0.024,-0.04,0.001
0.019,0.023,0.016
0.017,-0.014,0.008
-0.014,-0.001,0.019
-0.013,0.014,0.002
0.032,0.02,0.001
0.025,-0.005,-0.008
0.005,-0.018,0.007
-0.002,-0.013,0.006
0.005,-0.004,0.004
0.006,0.011,0.005
0.01,-0.019,-0.002
0.011,-0.014,-0.005
0.023,-0.032,-0.012
0.016,0.009,0.002
0.042,0.014,0.008
0.001,-0.03,0.004
0.023,-0.012,-0.002
-0.02,-0.021,0.003
0.031,-0.002,0.023
0.014,0.004,-0.005
0.002,0.001,-0.002
0.022,-0.014,-0.005
0.031,-0.002,-0.005
0.017,0.007,-0.022
0.004,-0.005,-0.007
0.023,0.004,-0.003
0.003,0.003,0.011
0.025,0.005,0.013
0.011,-0.007,-0.007
0.03,-0.001,-0.009
0.024,-0.004,0.011
-0.004,-0.001,0.027
-0.01,0.012,-0.004
0.044,0.025,0.012
0.013,0.018,0.005
0.013,-0.032,-0.008
0.001,-0.04,-0.005
0.025,-0.022,-0.005
0.024,0.01,-0.01
0.031,0.016,-0.005
0.003,-0.016,0.003
0.011,-0.031,-0.023
-0.019,-0.006,0.004
0.027,-0.017,0.011
0.028,-0.011,0
-0.007,0.004,-0.013
0.014,-0.005,0.012
0.036,0.02,0.011
0.021,-0.003,0.009
0.007,0.009,0.002
0.044,-0.006,-0.005
0.012,0.019,0.008
0.029,-0.026,-0.006
0.039,0.022,-0.002
0.032,0.006,-0.003
0.043,-0.011,-0.007
0.035,-0.018,-0.009
0.014,0.023,0.014
0.016,-0.015,0
0.008,0.013,0.006
0.002,-0.007,0.017
0.016,0.012,-0.004
0.017,0.002,-0.013
0.005,-0.021,0.001
0.03,0.004,0
0.029,-0.01,0.011
0.027,-0.007,0.006
0.033,0.001,-0.014
0.03,-0.016,-0.002
0.038,0.014,0.005
0.026,0.014,-0.013
0.004,0.011,0.01
0.027,0.009,0.002
0.001,0.021,-0.003
0.013,-0.02,0.014
0.039,-0.004,0.011
0.028,0.006,0.002
0.004,0.001,-0.011
0.002,-0.025,0.011
0.02,0.023,-0.014
0.024,-0.009,-0.004
0.01,-0.022,0.005
0.031,-0.01,0.01
0.01,-0.012,0.012
0.036,-0.021,0.013
0.029,-0.007,0.004
0.023,0.006,-0.002
0.021,0.006,0.022
0.012,0.017,-0.004
0.012,0.004,0.002
0.004,-0.024,-0.005
-0.011,-0.005,-0.01
0.027,-0.017,0.002
0.029,-0.031,0.004
0.013,-0.007,0.004
0.005,-0.012,0.018
0.049,-0.01,0.011
0.044,0.007,-0.001
0.014,0.027,-0.007
0.022,0.008,-0.014
0.003,0.012,0.02
0.021,0.004,0.016
0.01,-0.009,0.004
0.045,0.027,-0.002
0.003,0.037,-0.004
0.018,-0.014,0.004
0.03,0.003,0.008
0.028,0.023,-0.002
0.03,0.003,-0.006
0.02,-0.022,0.021
0.015,-0.004,-0.005
0.005,-0.009,0.005
0.032,-0.025,0.019
0.008,0,0.006
0.019,0.016,-0.003
0.031,0.029,-0.002
0.014,0.005,0.014
0.024,0.005,0.023
0.028,-0.018,0
0.001,0.004,0.009
0.05,-0.015,0.002
0.046,-0.004,0
0.005,-0.016,0.012
0.01,0.004,0.008
-0.018,0.013,0.003
0.004,0.001,0.009
0.02,0.012,0.004
0.032,-0.002,0.005
0.026,0.013,-0.002
0.024,-0.011,0.012
0.038,0.021,0.001
0.02,-0.002,0.011
0.036,-0.019,0.007
0.026,-0.026,0.005
0.023,0.015,0.02
0.004,0.016,0.009
0.03,0.011,-0.025
0.007,-0.019,-0.002
0.011,0.022,-0.002
0.009,-0.015,-0.002
0.03,0.043,0.006
0.03,0.015,0.004
0.01,0.005,0.013
0.019,0.019,0.017
0.015,-0.023,0.024
0.037,0.012,0.015
0.019,0.001,0.003
0.016,-0.006,0.012
0.008,-0.035,0.006
0.02,0.022,0.002
0.017,0.009,0.006
0.015,0.017,0.008
0.017,0.028,0.008
0.036,0.017,0.002
0.024,0.023,0.004
-0.006,-0.001,-0.004
0.032,-0.007,0
0.008,-0.022,0.011
0.018,-0.05,0.018
-0.001,-0.018,-0.007
0.036,-0.017,0.009
0.005,0.038,0.021
0.011,0.023,0
0.005,0.009,-0.012
-0.009,0.006,0.006
0.017,0.016,0.007
0.033,0.015,0.019
0.015,-0.007,0.016
0.027,-0.023,0.003
-0.002,0.02,0.013
0.022,-0.004,0.003
0.023,-0.015,0.013
0.008,0.015,0.017
0.023,0.006,0
0.014,-0.028,0.004
0.021,-0.022,0.007
0.016,0.019,0.004
0.055,-0.02,-0.001
0.024,0.019,-0.005
0.026,0.014,-0.001
0.023,0.025,0.008
0.016,-0.013,0.015
0.03,-0.01,0.028
0.023,0.009,0.007
0.019,0.025,0.012
0.022,0.006,0.014
0.018,-0.006,0.008
0.027,-0.014,0.002
0.024,-0.008,-0.005
0.016,-0.013,0.01
0.007,-0.006,0.007
0.026,-0.02,0.009
0.003,0.007,0.006
0.019,0.006,0.008
0.023,-0.007,-0.002
-0.021,-0.016,0
0.001,-0.002,0.003
0.036,-0.025,0.011
0.012,0.01,0.027
0.034,0.009,0.005
0.043,0.017,0.01
0.02,0.008,0.008
0.004,0.015,0.026
0.027,0.019,0.005
0.038,0.011,0.005
0.031,0.011,0.014
0.006,-0.027,0.006
0.024,-0.001,0.009
0.01,-0.022,0.033
0.012,0.008,0.018
0.006,0.005,-0.002
0.028,-0.009,0.002
