SOL,MG,MH
0.01,-0.051,0
0.014,-0.079,-0.021
0.042,-0.014,0
-0.046,0.067,0.016
0.088,0.023,0.008
0.118,0.071,0.016
0.028,-0.105,-0.007
-0.019,0.012,0.002
-0.02,-0.005,-0.006
0.074,0.003,-0.006
-0.004,-0.04,0.001
-0.04,0.033,-0.001
0.003,0.02,-0.02
0.032,-0.013,-0.007
0.029,0.017,0.007
0.053,-0.003,0.011
0.056,-0.019,-0.007
0.028,-0.041,-0.018
0.008,-0.006,0.009
-0.021,0.05,0.007
-0.028,0.042,0.004
0.082,0.022,0.004
0.078,-0.057,0.008
0.052,-0.013,0.015
-0.044,-0.018,-0.011
-0.086,-0.159,-0.008
-0.058,-0.014,-0.014
0.009,0.02,-0.004
0.11,-0.042,-0.007
0.077,0.098,0.003
-0.013,0.042,-0.003
0.004,0.02,-0.021
-0.063,0.009,-0.009
0.001,-0.007,0.003
0.023,-0.005,-0.007
0.092,-0.032,0.001
0.061,-0.1,0.014
-0.027,0.002,0.005
-0.011,0.007,-0.002
0.028,-0.036,-0.007
-0.095,0.001,-0.007
-0.041,-0.048,-0.019
0.032,0.022,0.002
0.087,0.043,0.014
0.239,0.004,0.009
0.245,-0.033,0.016
0.065,-0.08,0.006
-0.056,0.121,-0.003
-0.084,-0.032,0.009
-0.078,0.071,-0.009
-0.011,-0.004,0.003
-0.173,0.003,0
-0.061,0.013,0.005
-0.011,-0.022,0.001
-0.049,0.02,0.011
0.001,-0.03,0.005
0.008,0.008,-0.02
0.059,0.025,-0.002
0.037,-0.039,0.002
0.036,-0.098,-0.001
-0.004,0.079,-0.005
-0.026,0.011,0.011
0.025,-0.017,0.005
-0.071,0.013,0.014
0.054,-0.029,0.005
-0.104,-0.008,-0.007
0.11,0.029,0.005
0.15,-0.052,-0.007
0.057,-0.063,-0.006
0.065,-0.033,-0.004
0.044,-0.001,0.014
-0.157,-0.017,0
-0.009,0.059,-0.005
0.058,0.039,-0.013
-0.015,-0.011,0.004
0.092,-0.099,0.006
0.092,-0.071,0.004
0.016,0.015,0.002
0.037,0.034,0
-0.072,-0.001,0.004
-0.111,0.025,-0.019
0.015,0.028,-0.014
0.085,-0.007,-0.003
0.261,-0.032,-0.001
0.045,-0.023,-0.005
-0.06,-0.021,-0.013
-0.09,-0.004,-0.006
-0.038,-0.028,-0.012
-0.094,-0.011,0.009
-0.033,-0.006,-0.008
-0.051,0.016,0
0.077,0.003,0.009
0.134,-0.038,-0.006
0.099,0.089,-0.011
0.078,0.093,0.018
0.042,-0.12,0.001
0.008,-0.052,-0.007
-0.015,0.026,-0.01
-0.028,0.05,-0.007
0.037,0.041,0.01
-0.003,0.016,0.006
-0.011,-0.008,0.008
0.025,-0.02,-0.007
0.071,0.007,-0.006
0.056,0.024,0.003
-0.015,-0.057,0
-0.01,-0.041,0.008
0.054,-0.102,-0.009
0.004,-0.042,-0.017
0.029,0.03,0.007
0.034,0.092,0.02
0.001,-0.031,0.004
-0.099,-0.037,-0.004
-0.15,-0.012,-0.002
-0.023,-0.019,0.002
-0.025,0.024,-0.002
0.003,-0.005,-0.005
0.128,-0.018,0.001
-0.028,-0.001,-0.002
0.1,-0.016,-0.031
0.034,-0.038,0.006
0.009,0.028,-0.016
0.036,0.029,-0.005
0.038,0.015,0.008
0.066,-0.048,-0.011
0.078,0.008,0.014
0.005,-0.065,0.015
-0.013,0.076,0.002
0.02,0.082,-0.01
-0.024,0.082,0
0.016,-0.075,0.01
-0.023,-0.051,-0.002
-0.064,-0.036,-0.002
0.002,-0.009,-0.022
0.1,0.033,0.005
0.053,0.022,0.009
0.054,-0.007,0.015
0.028,-0.009,-0.02
0.138,-0.031,0.011
0.071,-0.002,-0.002
0.002,-0.018,0.002
-0.046,0.008,-0.005
0.052,-0.112,0.008
-0.044,0.006,0.016
-0.21,0.066,0.02
0.077,0.024,0.003
0.066,0.014,-0.013
0.085,-0.019,0.019
-0.054,-0.007,0.014
-0.053,0.001,0
0.062,-0.002,0.003
0.037,0.013,0.001
0.027,0.04,-0.016
0.083,0.063,-0.009
0.092,0.034,-0.011
-0.005,-0.127,-0.014
-0.013,0.009,-0.025
-0.003,-0.04,0.002
-0.077,0.012,0.021
-0.095,0.006,0
-0.045,-0.002,0.001
0.093,-0.016,0.003
0.083,-0.027,-0.002
0.059,0.008,0.008
0.062,0,-0.009
0.021,-0.073,-0.002
0.013,0.072,-0.003
-0.027,0.008,-0.01
0.021,-0.09,0.011
0.055,-0.056,-0.013
-0.007,0.055,-0.021
-0.044,0.014,-0.005
-0.034,-0.054,0
0.135,0.016,0.018
0.069,0.023,0.002
0.027,-0.017,0.002
0.011,0.045,0.005
-0.089,0.037,0.004
0.057,-0.045,0.008
0.062,-0.049,0
0.022,-0.024,0.017
0.032,0.032,0.008
0.054,0.012,-0.002
-0.011,0.063,-0.001
-0.1,0.016,-0.021
-0.027,-0.058,0.001
0.012,-0.031,-0.017
0.015,-0.009,0.001
-0.01,0.004,0.027
0.064,-0.004,0.001
0.057,-0.043,0.004
0.084,-0.013,0
0.132,0.006,0.007
0.018,-0.002,-0.008
0.001,0.017,-0.017
-0.066,0.019,0
-0.109,0.034,0.018
-0.011,0.028,0.004
0.013,-0.026,0.005
0.072,-0.009,-0.017
0.029,0.037,-0.008
0.093,-0.072,-0.005
0.135,-0.031,-0.003
-0.056,0.084,0.022
0.023,-0.045,0
0.06,-0.016,0.002
0.001,-0.076,-0.002
-0.202,0.053,0.011
-0.004,-0.09,-0.023
0.061,0.022,-0.002
0.006,0.05,-0.003
-0.019,-0.003,-0.01
0.054,-0.006,-0.011
0.117,-0.084,-0.005
0.222,-0.037,0.006
-0.022,0.112,0.018
-0.06,0.03,-0.004
-0.075,-0.035,0.009
-0.117,0.054,0.003
-0.043,-0.009,0.024
-0.039,0.012,0.003
0.039,-0.013,-0.002
0.084,-0.019,-0.011
0.014,0.062,-0.006
-0.016,-0.112,0.005
0.033,-0.036,0.004
0.041,-0.023,-0.004
0.045,0.015,-0.001
0.022,0.011,-0.004
0.027,0.023,-0.021
0.048,-0.007,-0.014
0.034,0.018,-0.003
0.065,0.019,0.004
-0.004,-0.034,-0.008
-0.048,-0.037,0.005
-0.006,-0.121,0.008
-0.033,0.054,0.011
0.085,0.054,0.017
0.031,-0.074,0.001
0.091,0.036,0.002
-0.004,0.029,-0.013
-0.09,-0.093,0.002
0.023,-0.029,0
0.05,0.076,0.015
0.074,0.016,0.009
0.02,-0.079,-0.004
0.048,-0.054,0
-0.014,0.049,-0.001
-0.076,0.026,0
-0.06,0.001,0.001
0.087,-0.015,-0.004
0.029,-0.008,-0.007
-0.094,-0.005,0.016
0.047,0.03,0.007
0.096,-0.094,0.004
0.078,0.06,0.016
-0.018,0.03,0.009
0.033,-0.093,-0.027
0.03,-0.04,0.003
0.146,0.063,0.007
0.03,0.025,-0.003
-0.149,0.031,0.007
0.03,0.007,-0.023
-0.015,-0.062,-0.001
0.016,-0.086,0.008
0.013,-0.016,0.002
-0.033,0.007,0.01
0.035,-0.001,0.008
0.087,0.043,0
0.085,0.219,-0.002
0.029,0.007,-0.008
-0.007,-0.053,-0.007
0.008,0.017,-0.003
-0.075,-0.033,-0.005
-0.025,0.016,-0.001
-0.003,-0.05,-0.004
0.039,-0.041,-0.008
0.061,-0.017,0.017
0.119,-0.085,0.007
-0.052,-0.016,0.019
-0.039,0.011,-0.004
0.054,0.036,-0.006
0.014,-0.012,0.016
-0.128,-0.019,-0.003
-0.086,0.013,0.003
0.036,0.035,-0.008
0.066,-0.033,0.016
0.008,-0.009,-0.014
0.031,0.037,0.002
0.144,0.023,-0.002
0.123,-0.011,-0.007
-0.014,-0.035,0.003
-0.06,0.006,0
-0.036,0.027,0.007
-0.035,-0.044,-0.014
-0.121,-0.008,-0.014
0.007,-0.045,0.003
0.088,-0.017,0.011
0.083,0.041,0.009
0.073,0.006,-0.003
0.038,-0.02,0.005
0.055,0.037,0.003
0.02,0.021,-0.005
-0.014,-0.05,0.007
-0.02,-0.042,-0.003
0.085,-0.006,-0.003
0.085,-0.023,-0.006
-0.049,0.054,-0.003
-0.093,0.097,-0.006
-0.051,0.052,0.002
-0.045,0.06,0.006
0.059,-0.035,0.014
0.007,-0.034,-0.005
0.056,-0.061,0.004
