DIA 0,DIA 5,DIA 15,DIA 20,DIA 30
-0.0027,0.01,0,0.0238,-0.018
-0.0087,0.005,-0.062,0.0294,-0.138
-0.0105,0.001,-0.022,0.007,-0.411
-0.0081,0.021,0.064,0.021,-0.279
0.0012,0.009,0.042,0.0112,0.5475
-0.0036,0.001,0.02,0.0462,0.432
-0.0033,0.02,0.051,-0.0252,0.1695
0.0036,0.008,-0.005,-0.0168,-0.012
-0.0021,-0.011,0.024,0.0028,-0.075
-0.0105,0.003,0.007,-0.0028,-0.177
0.0021,0.018,0.006,0.0392,-0.1065
-0.0069,0.007,-0.005,-0.0308,0.0405
-0.0012,0.014,0.027,0.0518,0.0315
-0.0024,0.019,0.02,-0.0028,0.0075
0.0021,-0.004,0.022,0.0448,0.051
-0.0021,0.013,-0.006,-0.0518,0.045
0.0039,0.021,0.022,0.042,0.087
-0.0057,0.007,-0.018,0.0084,0.048
-0.0099,0.001,-0.032,0.0308,0.1035
-0.0024,0.02,0.023,-0.0084,0.033
-0.0066,0.005,-0.005,0.0756,0.045
-0.0066,0.025,-0.002,0.0056,0.009
-0.0012,0.013,-0.007,-0.0462,0.018
-0.009,-0.011,-0.005,0.0168,0.048
-0.0054,0.012,-0.03,0.0014,0.024
-0.0057,0.016,0.02,0.0042,-0.006
-0.0051,0.002,-0.038,-0.0168,0.051
-0.0006,0.01,-0.062,-0.0336,0.033
-0.0021,0.019,-0.02,0.0042,-0.033
0.0003,0.017,-0.005,-0.0112,0.015
-0.0051,0.001,0.004,0.0252,0.003
-0.0015,0.008,0.002,0.0154,-0.0435
0,0.007,0.056,0.028,0.0465
-0.0003,0.019,0.036,0.0322,0.063
-0.0051,0.027,0.029,0.0378,0.0345
-0.0021,0.008,0.038,0.0322,-0.0045
-0.0003,0.005,0,0,-0.078
-0.0036,0.027,0.021,0.0126,-0.015
-0.0033,0.011,0.006,-0.0014,0.012
-0.0063,0.014,0.062,-0.0028,0.054
-0.0021,0.007,0.04,0.0462,-0.0135
-0.0021,0.005,-0.037,0,0.018
-0.0099,0.019,-0.003,0.0238,0.084
-0.0075,0.019,0.007,0.014,0.027
0.0027,0.019,-0.034,0.028,0.0945
-0.0099,0.011,0.06,0.0098,0.0495
-0.0015,0.001,-0.005,0.0504,0.0195
-0.0006,0.02,0.026,-0.0196,0.099
-0.003,0.023,-0.019,0.0322,0.072
-0.003,0.02,0.036,-0.0322,0.1245
-0.0066,0.012,0.006,-0.0252,0.1185
-0.0009,0.002,-0.033,-0.0308,0.0105
0.0033,0.019,0.013,-0.0266,0.09
0.0012,0.031,0.009,0.063,0.09
-0.0015,0.019,0.036,0.0028,0.0405
0.0012,0.002,-0.014,0.007,0.1125
-0.0003,0.009,0,0.0392,0.0825
-0.0096,0.014,0.007,0.0084,-0.0405
-0.0015,0.022,0.014,-0.028,-0.066
-0.009,0.014,-0.01,-0.0014,-0.0135
-0.0015,0.013,0.001,0.0028,-0.0495
-0.0003,0.029,0.039,-0.0084,-0.03
-0.0045,0.027,0.011,0.0056,-0.0015
0.0021,0,0.025,0.0224,0.072
-0.0012,0.012,0.013,0.0462,0.0345
-0.0009,-0.012,0.055,0.0042,0.0405
0,0.021,0.008,0.0238,0.129
-0.0015,0.003,-0.016,0.0028,0.099
0.0027,-0.005,0.043,0.0308,-0.0045
0.0051,0.007,-0.001,0.0056,0.0255
-0.0114,0.009,-0.001,-0.0056,-0.042
-0.003,0.007,-0.027,0.0224,0.039
-0.0063,-0.004,0.046,0.0364,-0.045
-0.0012,0.007,0.067,0.0462,-0.093
-0.0009,0.014,0.002,0.028,0.018
-0.003,0.015,-0.005,0.042,-0.021
-0.0039,0.02,-0.028,-0.0182,-0.0465
-0.0099,0.013,0,0.0196,-0.0195
-0.006,-0.001,0.023,-0.0084,0.0105
